	item_name	item_url	item_email	item_phone	item_address	item_site
18	Белый кофе	https://www.dvhab.ru/belyj-kofe	mail@coffee-stom.ru	['+7 (4212) 74-06-44', '+7 (4212) 93-07-51']	"['район ""Кировский"", ул. Советская, 50']"	http://www.coffee-stom.ru
19	ДенталЛайт	https://www.dvhab.ru/dentallait		['+7 914 416-17-71', '+7 914 543-01-02', '+7 (4212) 28-01-02', '+7 (4212) 47-88-87']	"['район ""Железнодорожный"", ул. Шатова, 2А']"	
20	G-Stom	https://www.dvhab.ru/g-stom	info@g-stom.vip	['+7 (4212) 90-06-60', '+7 924 110-06-60']	"['район ""Индустриальный"", ул. Краснореченская, 149']"	
21	Премьер	https://www.dvhab.ru/premer-stom-hbr	premier.stom@mail.ru	['+7 (4212) 45-05-02', '+7 924 305-70-17']	"['район ""Кировский"", ул. Тургенева, 96 кор. 2']"	http://www.clinica-premier.ru
22	Стомадент-ДВ	https://www.dvhab.ru/stomadent-db-hb	clinica@ipksz.khv.ru	['+7 (4212) 72-22-11 , регистратура', '+7 (4212) 72-35-11 , приемная глав. врача', '+7 (4212) 74-17-61 , регистратура платного отделения']	"['район ""Краснофлотский"", ул. Тихоокеанская, 171В']"	http://stomadent-dv.ipksz.ru
23	Сок	https://www.dvhab.ru/sok	sok-stom@mail.ru	['+7 924 932-99-98', '+7 (4212) 41-01-44']	"['район ""Центральный"", ул. Комсомольская, 78']"	http://ortofresh.ru
24	Первая социальная	https://www.dvhab.ru/pervaya-socialnaya	one_social@mail.ru	['+7 (4212) 27-69-42', '+7 914 544-77-45']	"['район ""Железнодорожный"", ул. Карла Маркса, 124']"	http://social-stom.tilda.ws
25	Oral Clinic	https://www.dvhab.ru/oral-clinic	info@oralclinic.ru	['+7 (4212) 71-01-20']	"['район ""Центральный"", ул. Дзержинского, 64']"	https://oralclinic.ru
26	ЭкоСтомДВ	https://www.dvhab.ru/ekostom	ecostom.khv@yandex.ru	['+7 (4212) 20-28-23', '+7 914 158-28-23', '+7 962 502-90-62']	"['район ""Индустриальный"", ул. Краснореченская, 155']"	http://www.экостом.рф
27	Щелкунчик	https://www.dvhab.ru/shelkunchik-khv	schelkunchik27@mail.ru	['+7 (4212) 25-25-15', '+7 (4212) 20-82-06 , приём по полису ОМС']	"['район ""Индустриальный"", ул. Краснореченская, 149']"	http://www.schelkunchik27.ru
28	Детская стоматологическая поликлиника №22	https://www.dvhab.ru/detskaya-stomatologicheskaya-poliklinika-nomer-22	22detstompol.kht@mail.ru	['+7 (4212) 68-07-78, горячая линия, электронная запись', '+7 (4212) 65-63-43, горячая линия', '+7 (4212) 36-40-78 , регистратура', '+7 (4212) 33-71-08 , приемная гл. врача', '+7 (4212) 60-60-99 , регистратура платного отделения', '+7 (4212) 33-98-80 , зав. отделением', '+7 (4212) 33-71-07 , старшая медицинская сестра', '+7 (4212) 59-25-66 , регистратура']	"['район ""Индустриальный"", ул. Краснореченская, 177А', 'район ""Индустриальный"", ул. Ворошилова, 48']"	https://dsp-22.ru
29	Альфа Дент	https://www.dvhab.ru/alfa-dent-1		['+7 (4212) 73-18-18', '+7 924 918-97-79']	"['район ""Железнодорожный"", ул. Воронежская, 38А']"	http://www.alfadent-dv.ru
30	МилаСтом	https://www.dvhab.ru/milastom	milastom_27@mail.ru	['+7 (4212) 35-89-65', '+7 (4212) 76-13-43']	"['район ""Краснофлотский"", ул. Тихоокеанская, 218А', 'район ""Центральный"", б-р Амурский, 38', 'район ""Центральный"", ул. Льва Толстого, 12']"	http://milastom.ru
31	Айсберг	https://www.dvhab.ru/stomatologicheskaya-klinika-ajsberg	iceberg.dental.clinic@gmail.com	['+7 (4212) 68-48-48']	"['район ""Кировский"", ул. Калинина, 131']"	http://icebergdental.com
32	Стоматологический госпиталь	https://www.dvhab.ru/stomatologicheskij-gospital	gospital27@mail.ru	['+7 (4212) 70-46-95', '+7 (4212) 60-60-60']	"['район ""Центральный"", ул. имени Лейтенанта Орлова С.В, 8']"	http://www.gospital27.ru
33	Зубок	https://www.dvhab.ru/zubok		['+7 (4212) 54-66-30']	"['район ""Индустриальный"", ул. Краснореченская, 60']"	
34	Стоматологическая поликлиника	https://www.dvhab.ru/stomatologicheskaya-poliklinika-hk	habrb-hr@mail.ru	['+7 (4212) 35-86-86', '+7 (4212) 35-88-83', '+7 (421) 235-86-86 , доб. 333', '+7 909 801-05-70', '+7 (4212) 35-86-86 , доб. 290', '+7 (4212) 35-86-86 , доб. 200']	['Хабаровский край, пгт Корфовский, ул. Таёжная, 12', 'Хабаровский край, с. Князе-Волконское, ул. Никитенко, 9', 'Хабаровский край, с. Некрасовка, ул. Школьная, 13', 'Хабаровский край, с. Тополево, ул. Центральная, 15']	http://rb-khv.medkhv.ru
35	Зубная Фея	https://www.dvhab.ru/zubnaya-feya	info@zf27.ru	['+7 (4212) 61-10-30', '+7 (4212) 76-70-37', '+7 (4212) 64-03-40']	"['район ""Кировский"", ул. Серышева, 34']"	http://zf27.ru
36	Аврора-стом	https://www.dvhab.ru/avrora-stom	radiks-s56@mail.ru	['+7 962 502-32-52', '+7 (4212) 46-04-65']	"['район ""Кировский"", ул. Серышева, 56']"	http://аврора-стом.рф
37	Современная стоматология	https://www.dvhab.ru/klinika-sovremennaya-stomatologiya	456601@mail.ru	['+7 (4212) 45-66-01']	"['район ""Индустриальный"", ул. Морозова Павла Леонтьевича, 96А']"	http://www.stom27.com
38	Твой доктор	https://www.dvhab.ru/tvoi-doktor		['+7 (4212) 50-69-65', '+7 962 503-23-62']	"['район ""Индустриальный"", ул. Панфиловцев, 36А']"	http://tvoi-doctor27.ru
39	L.Dent	https://www.dvhab.ru/lajner-dent	ldent-2011@yandex.ru	['+7 (4212) 23-15-77', '+7 914 158-07-90', '+7 (4212) 20-07-90']	"['район ""Железнодорожный"", кв-л ДОС (Большой Аэродром), 51']"	
40	Полидент	https://www.dvhab.ru/polident		['+7 (4212) 36-59-87']	"['район ""Индустриальный"", ул. Краснореченская, 199']"	
41	Ст-Дент	https://www.dvhab.ru/st-dent		['+7 (4212) 36-55-52', '+7 962 503-60-63']	"['район ""Индустриальный"", пер. Картографический, 5А']"	http://стдент.рф
42	Медикус	https://www.dvhab.ru/medikus	medicus_oleg@mail.ru	['+7 (4212) 46-08-01', '+7 924 118-97-99']	"['район ""Индустриальный"", ул. Краснореченская, 97А']"	http://www.медикус27.рф
43	Дентал Стиль	https://www.dvhab.ru/dentalstyle-khv	a.dentalstyle@mail.ru	['+7 (4212) 23-78-00', '+7 (4212) 29-51-67', '+7 (4212) 23-30-00', '+7 (4212) 50-08-00']	"['район ""Центральный"", б-р Уссурийский, 16']"	http://www.lp.dentalstyle-khv.ru
44	Дент-имплант	https://www.dvhab.ru/dent-implant-stomatologicheskij-centr	733535@bk.ru	['+7 (4212) 73-35-35', '+7 909 876-72-02']	"['район ""Железнодорожный"", ул. Большая, 97']"	http://www.dent-implant.khv.ru
45	Стомэнергетик	https://www.dvhab.ru/ooo-stomenergetik	stomenergetik@mail.ru	['+7 (4212) 48-03-30', '+7 924 113-17-81']	"['район ""Краснофлотский"", кв-л Энергетик, 11']"	http://stomenergo.ru
46	Стомэксперт	https://www.dvhab.ru/stomexpert	stomexpert@list.ru	['+7 (4212) 21-84-32', '+7 994 130-30-70']	"['район ""Индустриальный"", ул. Волочаевская, 10']"	
47	Эскулап	https://www.dvhab.ru/eskulap	324892esk@mail.ru	['+7 (4212) 32-48-92', '+7 914 414-48-44']	"['район ""Центральный"", ул. Шеронова, 92']"	http://esculapclinic.ru
48	Вита	https://www.dvhab.ru/vita-hab		['+7 (4212) 77-87-89', '+7 (4212) 23-74-18']	"['район ""Центральный"", ул. Дзержинского, 40А']"	
49	Восток	https://www.dvhab.ru/vostok-stomatologicheskaya-klinika	vostokstom@yandex.ru	['+7 (4212) 61-37-13', '+7 (4212) 41-39-13']	"['район ""Индустриальный"", ул. Волочаевская, 107']"	http://www.vostok-stom.ru
50	Галерея Улыбок	https://www.dvhab.ru/galereya-ulybok-stomatologicheskij-centr	implantmed@mail.ru	['+7 (4212) 57-21-67', '+7 (4212) 56-37-04']	"['район ""Кировский"", ул. Льва Толстого, 38']"	
51	Статус-Мед	https://www.dvhab.ru/status-med		['+7 914 203-75-29', '+7 (4212) 73-03-76']	"['район ""Краснофлотский"", ул. Трёхгорная, 64']"	http://statusmed27.ru
52	Клиника Доктора Головина	https://www.dvhab.ru/klinika-doktora-golovina	stomg100@gmail.com	['+7 909 802-68-03', '+7 (4212) 68-68-03']	"['район ""Центральный"", ул. Калинина, 8']"	http://golovindv.ru
53	Доктор	https://www.dvhab.ru/doktor-stomatologicheskij-centr	mail@doctordv.ru	['+7 (4212) 54-77-00']	"['район ""Индустриальный"", ул. Краснореченская, 63']"	http://doctordv.ru
54	Мой любимый стоматолог	https://www.dvhab.ru/moj-lyubimyj-stomatolog	mylovestom27@mail.ru	['+7 962 220-66-66', '+7 (4212) 76-76-66', '+7 (4212) 60-66-66']	"['район ""Железнодорожный"", ул. Карла Маркса, 109Д']"	http://mylovestom27.ru
55	Дентал-клиник	https://www.dvhab.ru/dental-klinik-stomatologicheskij-centr	dental_clinik@mail.ru	['+7 (4212) 51-37-89', '+7 (4212) 65-81-49', '+7 909 822-81-49']	"['район ""Индустриальный"", ул. Ворошилова, 31']"	http://dentalclinik.ru
56	Геометрия улыбки	https://www.dvhab.ru/geometria27	ulybki19@mail.ru	['+7 924 205-99-15', '+7 (4212) 35-88-83']	['Хабаровский край, с. Тополево, ул. Центральная, 15']	
57	Дэкодент	https://www.dvhab.ru/dekodent	genezis-vostok@mail.ru	['+7 924 311-45-46', '+7 (4212) 27-09-08']	"['район ""Железнодорожный"", ул. Костромская, 48Б']"	http://www.decodent.ru
58	Аюрдент	https://www.dvhab.ru/ayurdent-stomatologicheskij-centr	larisa-fomina@yandex.ru	['+7 (4212) 30-01-91', '+7 924 209-33-03 , врач', '+7 924 209-33-09']	"['район ""Железнодорожный"", ул. Войкова, 20']"	
59	Альфа-Стом	https://www.dvhab.ru/alfa-stom-stomatologicheskaya-klinika	alpha-stom@mail.ru	['+7 (4212) 75-56-40']	"['район ""Центральный"", ул. Гайдара, 14']"	http://www.alpha-stom.khb.ru
60	Дентал Студио	https://www.dvhab.ru/dental-studio	dental_studio27@mail.ru	['+7 (4212) 72-96-90', '+7 (4212) 68-61-00']	"['район ""Железнодорожный"", ул. Большая, 9']"	http://dentalstudio27.ru
61	Юмакс	https://www.dvhab.ru/yumax	ymax.2007@yandex.ru	['+7 (4212) 22-12-71']	"['район ""Индустриальный"", ул. Блюхера, 3']"	http://ymax.pro
62	Корона-Стом	https://www.dvhab.ru/korona-stom	corona-stom@mail.redcom.ru	['+7 (4212) 45-20-52', '+7 (4212) 45-34-53']	"['район ""Индустриальный"", ул. Волочаевская, 87', 'район ""Центральный"", ул. Запарина, 25']"	http://www.koronastom.ru
63	Новая стоматология	https://www.dvhab.ru/novaya-stomatologiya	uta-stom@bk.ru	['+7 (4212) 43-77-97', '+7 (4212) 42-16-74']	"['район ""Центральный"", ул. Петра Комарова, 3А']"	http://new-stom.ru
64	Хороший Доктор	https://www.dvhab.ru/horoshij-doktor	malina-stom@bk.ru	['+7 (4212) 64-40-64', '+7 909 825-40-64']	"['район ""Центральный"", ул. Волочаевская, 124']"	
65	Стоматологическая поликлиника №19	https://www.dvhab.ru/stomatologicheskaya-poliklinika-19	stom-khv19@yandex.ru	['+7 (4212) 56-35-50 , регистратура', '+7 (4212) 56-26-34 , приемная глав. врача']	"['район ""Кировский"", пер. Забайкальский, 4']"	http://sp19.medkhv.ru
66	Мел	https://www.dvhab.ru/mel	melclinic@hotmail.com	['+7 (4212) 46-09-40', '+7 914 410-42-42']	"['район ""Железнодорожный"", ш. Восточное, 41']"	http://melstom.ru
67	Мира	https://www.dvhab.ru/stomatologicheskij-centr-mira	info@mirastom.ru	['+7 800 234-46-64, единая справочная', '+7 924 449-99-79']	"['район ""Центральный"", ул. Постышева, 22А']"	http://mirastom.ru
68	Аполлония	https://www.dvhab.ru/apolloniya-khv		['+7 (4212) 54-14-26', '+7 914 548-27-54']	"['район ""Индустриальный"", ул. Краснореченская, 90 кор. 1']"	
69	Дальневосточный окружной медицинский центр	https://www.dvhab.ru/habarovskaya-bolnica-dalnevostochnyj-okruzhnoj-medicinskij-centr-federalnogo-mediko-biologiche79361	acbb27@mail.ru	['+7 (4212) 58-32-12 , регистратура', '+7 (4212) 79-44-97 , приёмная главного врача', '+7 (4212) 58-32-11 , бухгалтерия', '+7 (4212) 58-32-07 , отдел кадров']	"['район ""Индустриальный"", ул. Ремесленная, 18']"	
70	Doctor Kan	https://www.dvhab.ru/doctor-kan	doctorkan_khv@mail.ru	['+7 (4212) 49-04-00', '+7 999 082-67-87']	"['район ""Центральный"", ул. Тургенева, 48']"	http://doctorkan.ru
71	Vir Dent	https://www.dvhab.ru/vir-dent	vir.dent@mail.ru	['+7 (4212) 93-88-83', '+7 (4212) 93-88-80', '+7 924 403-88-80']	"['район ""Индустриальный"", ул. Суворова, 51']"	http://vir-dent.ru
72	АвиценнаСтом	https://www.dvhab.ru/ooo-avicena	belovavera291256@mail.ru	['+7 (4212) 24-06-06', '+7 924 205-52-65', '+7 914 194-50-67', '+7 924 918-22-02']	"['район ""Индустриальный"", ул. Краснореченская, 155']"	http://avicennastom.ru
73	Социальная стоматология	https://www.dvhab.ru/socialnaya-stomatologiya		['+7 924 212-98-30', '+7 (4212) 45-57-90']	"['район ""Индустриальный"", ул. Морозова Павла Леонтьевича, 46']"	http://социальная-стоматология.рф
74	One life	https://www.dvhab.ru/new-life-hab		['+7 (4212) 20-60-30', '+7 914 172-48-11', '+7 914 158-60-30']	"['район ""Индустриальный"", ул. Блюхера, 5']"	
75	Хабаровская стоматология	https://www.dvhab.ru/habarovskaya-stomatologiya	stom_khv@mail.ru	['+7 (4212) 33-32-32', '+7 914 167-19-86', '+7 914 158-72-53']	"['район ""Центральный"", ул. Пушкина, 4', 'район ""Железнодорожный"", ул. Большая, 93']"	https://хабаровская-стоматология.рф
76	Дантист	https://www.dvhab.ru/dantist-hab		['+7 (4212) 24-90-00', '+7 914 159-90-00']	"['район ""Индустриальный"", ул. Вахова А.А, 2']"	
77	Студия красивых улыбок	https://www.dvhab.ru/studiya-krasivyh-ulybok		['+7 (4212) 24-17-77', '+7 914 159-17-77']	"['район ""Индустриальный"", ул. Фурманова, 2А']"	
78	SmileDent	https://www.dvhab.ru/smile-dent	smiledentkhv@mail.ru	['+7 (4212) 20-43-33']	"['район ""Индустриальный"", ул. Фурманова, 2']"	http://smiledentkhv.ru
79	Смайл	https://www.dvhab.ru/smajl-hbr	stomsmile@bk.ru	['+7 962 220-33-76']	"['район ""Железнодорожный"", ул. Карла Маркса, 135']"	
80	Оскармед	https://www.dvhab.ru/oscar-stom	dir@oskar27.ru	['+7 (4212) 26-05-90']	"['район ""Железнодорожный"", ул. Кола Бельды, 1', 'район ""Кировский"", ул. Советская, 32']"	https://oskar-med.ru
81	Кореан Стом	https://www.dvhab.ru/korean-dent	korean-stom@mail.ru	['+7 (4212) 65-50-60', '+7 (4212) 93-44-99', '+7 924 403-44-99']	"['район ""Индустриальный"", ул. Краснореченская, 189']"	http://korean-stom.ru
82	Дальмедком	https://www.dvhab.ru/dalmedkom	dalmedkom@yandex.ru	['+7 924 208-36-69']	"['район ""Железнодорожный"", ул. Клубная, 35']"	
83	Алекс-Дент	https://www.dvhab.ru/alex-dent		['+7 (4212) 73-21-25', '+7 962 224-43-21']	"['район ""Железнодорожный"", ул. Вяземская, 20']"	
84	Трио	https://www.dvhab.ru/trio-stomatologicheskij-kabinet	triostom@mail.ru	['+7 (4212) 45-30-90']	"['район ""Центральный"", ул. Рабочий Городок, 6']"	
85	Красивая Улыбка	https://www.dvhab.ru/stomku	kul.clinic@gmail.com	['+7 (4212) 59-85-59', '+7 924 104-74-97']	"['район ""Индустриальный"", ул. Морозова Павла Леонтьевича, 113']"	
86	Стьюдентс	https://www.dvhab.ru/styudents	stom@stu-dents.ru	['+7 (4212) 22-80-89', '+7 (4212) 77-78-48', '+7 914 544-78-48']	"['район ""Кировский"", ул. Герасимова, 29']"	http://stu-dents.ru
87	Вайт-Дент	https://www.dvhab.ru/stomatologiya-white-dent		['+7 (4212) 30-14-80']	"['район ""Центральный"", ул. Синельникова, 5']"	
88	Белый клык	https://www.dvhab.ru/belyj-klyk-stomatologicheskij-centr	beliyklik@bk.ru	['+7 (4212) 23-64-74']	"['район ""Железнодорожный"", кв-л ДОС (Большой Аэродром), 40']"	http://белый-клык27.рф
89	МарСтом	https://www.dvhab.ru/marstom		['+7 (4212) 20-04-25']	"['район ""Железнодорожный"", ул. Клубная, 23']"	
90	Профи	https://www.dvhab.ru/profident	khabur@mail.ru	['+7 (4212) 63-33-39', '+7 (4212) 34-10-27']	"['район ""Центральный"", ул. Нагишкина, 2А']"	http://www.profistom.com
91	Тубер 2	https://www.dvhab.ru/tuber-2	213399@tuberdv.ru	['+7 (4212) 21-33-99', '+7 (4212) 60-44-88', '+7 962 220-44-88']	"['район ""Центральный"", ул. Ленина, 28']"	https://tuberstom.ru
92	Dental Pro	https://www.dvhab.ru/dental-pro	dentalprokhv@mail.ru	['+7 (4212) 91-03-03', '+7 909 851-03-33']	"['район ""Кировский"", б-р Амурский, 49']"	http://dentalprokhv.ru
93	i Dent	https://www.dvhab.ru/i-dent	ident_2018@list.ru	['+7 (4212) 77-57-71', '+7 929 400-64-00', '+7 914 544-57-71']	"['район ""Индустриальный"", ул. Гамарника, 62']"	http://ident27.ru
94	Жемчужина	https://www.dvhab.ru/zhemchuzhina-stomatologicheskij-centr		['+7 (4212) 21-66-56', '+7 962 228-04-77', '+7 914 402-20-04']	"['район ""Центральный"", ул. Ленина, 53']"	
95	Снегири	https://www.dvhab.ru/snegiri	info@snegirimed.ru	['+7 (4212) 91-22-22', '+7 (4212) 60-10-01']	"['район ""Железнодорожный"", пер. Ленинградский, 9']"	http://www.snegirimed.ru
96	Dental Family	https://www.dvhab.ru/dental-family	info@dentalf.ru	['+7 (4212) 74-77-47']	"['район ""Центральный"", ул. Комсомольская, 62']"	http://www.dentalf.ru
97	Здоровые Зубы плюс	https://www.dvhab.ru/zdorovye-zuby-khv	koroleva13.dv@gmail.com	['+7 924 223-70-35', '+7 (4212) 78-96-56', '+7 (4212) 35-80-00']	"['район ""Индустриальный"", ул. Королёва, 13']"	http://www.королева13.рф
98	Вита-мед	https://www.dvhab.ru/vita-med		['+7 (4212) 26-38-53']	"['район ""Железнодорожный"", ш. Матвеевское, 47']"	
99	Дентал Офис	https://www.dvhab.ru/dental-ofis	info@dental-office.pro	['+7 (4212) 68-38-48']	"['район ""Центральный"", ул. Комсомольская, 74']"	
100	Маяк	https://www.dvhab.ru/stomatologiya-mayk-ooo		['+7 (4212) 74-52-10']	"['район ""Краснофлотский"", ул. Профессора Даниловского М.П, 30']"	
101	Стомадент	https://www.dvhab.ru/stomadent-hb	stomadentdv@inbox.ru	['+7 (4212) 57-37-73', '+7 (4212) 60-76-05']	"['район ""Кировский"", ул. Калинина, 109']"	http://stomadentdv.ru
102	ПрезиДент	https://www.dvhab.ru/prezident	itok777@gmail.com	['+7 914 401-78-75', '+7 (4212) 69-17-95', '+7 962 587-17-95']	"['район ""Железнодорожный"", кв-л ДОС (Большой Аэродром), 42А']"	
103	Стоматологическая поликлиника №25 Ден-Тал-Из	https://www.dvhab.ru/mbuzstomatologicheskaya-poliklinika-25	sp25@den-tal-ez.ru	['+7 (4212) 46-18-01, приёмная', '+7 (4212) 47-03-33 , регистратура', '+7 (4212) 47-05-55 , платное отделение']	"['район ""Индустриальный"", ул. Радищева, 16', 'район ""Железнодорожный"", ул. Большая, 6']"	
104	Здоровые Зубы	https://www.dvhab.ru/stomatologicheskij-centr-zdorovye-zuby	dos3.khv.dv@gmail.com	['+7 (4212) 27-47-00', '+7 (4212) 77-83-93']	"['район ""Железнодорожный"", кв-л ДОС (Большой Аэродром), 3']"	https://дос3.рф
105	АйдентАс	https://www.dvhab.ru/identas	identas@inbox.ru	['+7 (4212) 66-90-00']	"['район ""Железнодорожный"", ул. Большая, 12']"	http://www.identas.ru
106	Стома Люкс	https://www.dvhab.ru/stoma-lyux	stoma.luks.19@inbox.ru	['+7 (4212) 29-80-62', '+7 914 203-09-39']	"['район ""Железнодорожный"", ул. Воровского, 24']"	
107	Диана	https://www.dvhab.ru/diana-stom	doktorbabayan@yandex.ru	['+7 (4212) 77-50-40', '+7 914 544-50-40', '+7 (4212) 63-07-00']	"['район ""Железнодорожный"", ул. Хабаровская, 33']"	
108	МедЭксперт	https://www.dvhab.ru/medexpert	medexpert1981@mail.ru	['+7 (4212) 62-44-11', '+7 962 502-44-11']	"['район ""Индустриальный"", ул. Флегонтова, 4']"	
109	Сёстры	https://www.dvhab.ru/sestry		['+7 (4212) 63-27-28']	"['район ""Центральный"", ул. Ленина, 18']"	
110	Pride	https://www.dvhab.ru/pride	dentalclinicpride@yandex.ru	['+7 (4212) 23-37-33', '+7 (4212) 61-88-66']	"['район ""Индустриальный"", ул. Слободская, 16']"	https://pride27.com
111	Суприма Дент	https://www.dvhab.ru/stom-ooo-hb	stomatolog2008@inbox.ru	['+7 (4212) 42-16-29']	"['район ""Центральный"", б-р Амурский, 12']"	
112	Сити-Стом	https://www.dvhab.ru/siti-stom	cmm75a@rambler.ru	['+7 (4212) 37-36-73', '+7 (4212) 46-33-90']	"['район ""Железнодорожный"", ул. Кочнева, 14Д кор. 2', 'район ""Кировский"", ул. Советская, 10 кор. 1']"	http://www.city-stom.ru
113	Лукадент	https://www.dvhab.ru/lukadent	sg_belyaev@mail.ru	['+7 (4212) 56-10-05']	"['район ""Кировский"", ул. Фрунзе, 119']"	http://lukadent.ru
114	Вика-Дент ДВ	https://www.dvhab.ru/vika-dent-dv	vikadentdv@mail.ru	['+7 (4212) 20-55-87', '+7 914 158-55-87']	"['район ""Железнодорожный"", ул. Карла Маркса, 144']"	http://стоматология-в-хабаровске.рф
115	ИП Сахаров В. Н.	https://www.dvhab.ru/saharov-vn		['+7 (4212) 77-13-01', '+7 914 544-13-01']	"['район ""Центральный"", ул. Истомина, 49']"	http://www.stomcabinet.ru
116	Докомит	https://www.dvhab.ru/dokomit-stomatologicheskij-centr	dokomit@mail.ru	['+7 (4212) 60-50-50', '+7 (4212) 42-77-57']	"['район ""Центральный"", ул. Ленинградская, 15А']"	http://dokomit.ru
117	СРП Дентис-ДВ	https://www.dvhab.ru/srp-dentis-dv	dentis-dv@mail.ru	['+7 (4212) 20-21-24', '+7 914 158-21-24']	"['район ""Индустриальный"", пер. Донецкий, 2']"	
118	ДеЛюкс	https://www.dvhab.ru/delyux	admin@stom-deluxe.ru	['+7 (4212) 20-15-10', '+7 (4212) 45-99-68']	"['район ""Индустриальный"", ул. Краснореченская, 193']"	https://stom-deluxe.ru
119	Приоритет	https://www.dvhab.ru/prioritet-stom-hbr	prioritetstom@mail.ru	['+7 (4212) 56-00-00', '+7 914 542-23-66']	"['район ""Кировский"", ул. Запарина, 137']"	http://www.prioritetstom.ru
120	Авторская стоматология	https://www.dvhab.ru/avtorskaya-stomatologiya	acedent@mail.ru	['+7 924 403-00-78', '+7 (4212) 93-00-78', '+7 (4212) 60-96-55', '+7 (4212) 60-96-55']	"['район ""Кировский"", ул. Серышева, 44', 'район ""Железнодорожный"", ул. Ленинградская, 53 кор. 1']"	http://avtorskaya-st.ru
121	Артдент	https://www.dvhab.ru/artdent-stomatologicheskij-centr	art1_dent@mail.ru	['+7 (4212) 47-50-39', '+7 (4212) 47-50-38', '+7 (4212) 63-16-19', '+7 962 503-16-19', '+7 929 406-16-19']	"['район ""Железнодорожный"", ул. Гагарина, 11']"	http://www.artdent27.ru
