	item_name	item_url	item_email	item_phone	item_address	item_site
33	Мастерская Улыбки Плюс	https://www.vl.ru/masterskaya-ulybki-plyus	smileworkshop@mail.ru	['+7 914 703-35-59']	"['район ""Первая речка"", пр-т Океанский, 92']"	http://sw-dent.ru
34	ID Clinic	https://www.vl.ru/id-clinic	identshur@gmail.com	['+7 908 448-71-58', '+7 (423) 258-71-58']	"['район ""Некрасовская"", ул. Круговая 2-я, 12']"	
35	Генциана Плюс	https://www.vl.ru/genciana-plyus-ooo	gentsianaplus@yandex.ru	['+7 (423) 225-99-91']	"['район ""Тихая"", ул. Беляева, 2']"	
36	UniverStom	https://www.vl.ru/universtom	universtomvl@yandex.ru	['+7 951 024-25-25', '+7 908 994-35-35', '+7 (423) 294-35-35']	"['район ""Вторая речка"", ул. Кутузова, 3А']"	https://universtom-vl.ru
37	Виктория	https://www.vl.ru/viktoriya-stomatologiya	rvt78@mail.ru	['+7 (423) 245-21-02', '+7 (423) 259-98-28', '+7 964 437-13-50', '+7 908 449-98-28']	"['район ""Чуркин"", ул. Краева, 8А']"	
38	ДантистЪ	https://www.vl.ru/dantist111	dantist-650151@mail.ru	['+7 (423) 265-01-51']	"['район ""Вторая речка"", ул. Енисейская, 7/1']"	
39	Краевая стоматологическая поликлиника	https://www.vl.ru/kraevaya-guzdetsk	stomirina@mail.ru	['+7 (423) 243-26-10, зам. главного врача', '+7 (423) 226-01-75, отдел кадров', '+7 (423) 220-50-14, отдел закупок', '+7 (423) 222-85-98, бухгалтерия', '+7 (423) 220-50-09, касса', '+7 (423) 244-09-65 , регистратура', '+7 (423) 244-09-79 , дежурный администратор', '+7 (423) 263-67-49 , регистратура', '+7 (423) 231-49-57 , регистратура', '+7 (423) 225-57-81 , регистратура', '+7 (423) 225-55-01 , дежурный администратор', '+7 (423) 243-28-73 , регистратура', '+7 (423) 243-28-52 , дежурный администратор', '+7 (423) 222-86-17 , регистратура', '+7 (423) 226-10-85 , дежурный администратор']	"['район ""64, 71 микрорайоны"", ул. Адмирала Кузнецова, 64А', 'район ""Борисенко"", ул. Борисенко, 31', 'район ""Вторая речка"", ул. Чапаева, 14', 'район ""Трудовая"", ул. 50 лет ВЛКСМ, 17', 'район ""Центр"", ул. Суханова, 1', 'район ""Центр"", ул. Уборевича, 14']"	https://ksp-dv.ru
40	Империал Плюс	https://www.vl.ru/imperial-plyus	kleed05@mail.ru	['+7 (423) 209-00-12']	"['район ""БАМ"", ул. Карбышева, 22']"	
41	Блеск	https://www.vl.ru/st-blesk	blesk2003@mail.ru	['+7 (423) 245-04-84', '+7 (423) 244-63-83']	"['район ""Третья рабочая"", пр-т Народный, 19']"	http://www.blesk-st.ru
42	Панадента	https://www.vl.ru/panadenta-ooo	panadenta@inbox.ru	['+7 (423) 244-35-35', '+7 (423) 268-01-10']	"['район ""Луговая"", ул. Луговая, 69']"	
43	Стом-класс	https://www.vl.ru/stom-klass		['+7 (423) 237-53-77', '+7 (423) 299-32-67 , директор']	"['район ""Вторая речка"", ул. Магнитогорская, 18']"	
44	Пионер	https://www.vl.ru/pioner-vl	pionerdent@mail.ru	['+7 (423) 295-07-57', '+7 (423) 243-36-35']	"['район ""Центр"", ул. Прапорщика Комарова, 31А']"	
45	Dental-Studio	https://www.vl.ru/dental-studio-ooolechenie-protezirovanie	info@dental-s.su	['+7 (423) 220-02-66']	"['район ""Третья рабочая"", ул. Аллилуева, 14', 'район ""Чуркин"", ул. Запорожская, 77', 'район ""Чуркин"", ул. Калинина, 39']"	http://www.dental-s.su
46	Вистерия	https://www.vl.ru/visteriya-stomatologiya	vistastom2014@mail.ru	['+7 (423) 200-45-11', '+7 (423) 229-33-55', '+7 924 730-45-11']	"['район ""Фадеева"", ул. Фадеева, 12']"	
47	Бьюти Дент	https://www.vl.ru/randevu-stom	beautydentvl@gmail.com	['+7 904 627-32-68', '+7 914 668-09-99']	"['район ""Луговая"", ул. Ивановская, 6/4', 'район ""Центр"", пр-т Океанский, 35']"	http://125.beautydent-vdk.ru
48	Лотос	https://www.vl.ru/lotos-regionalnyj-medicinskij-centr-ano	lotospk@mail.ru	['+7 (423) 240-40-69', '+7 914 790-26-59', '+7 (423) 239-39-09']	"['район ""Некрасовская"", ул. Гоголя, 41']"	http://www.lotosvl.ru
49	Студия современной стоматологии	https://www.vl.ru/studiya-sovremennoj-stomatologii		['+7 (423) 290-82-87', '+7 914 705-09-00']	"['район ""Центр"", ул. Пушкинская, 52']"	
50	Дентонекс	https://www.vl.ru/dentoneks-ooo	dentoneks@mail.ru	['+7 (423) 224-36-26', '+7 (423) 232-55-78']	"['район ""Вторая речка"", ул. Русская, 66']"	http://www.dentoneks.ru
51	Level Up	https://www.vl.ru/level-up-stom		['+7 (423) 266-21-69']	"['район ""Центр"", ул. Светланская, 87В']"	
52	Стомос	https://www.vl.ru/profi-dent	stomoss@mail.ru	['+7 902 482-32-52']	"['район ""Некрасовская"", ул. Некрасовская, 96']"	https://stomos-vl.ru
53	Колот	https://www.vl.ru/kolot-ooo	Info@kolot.ru	['+7 (423) 242-38-31', '+7 (423) 242-02-02']	"['район ""Первая речка"", пр-т Острякова, 1']"	http://www.kolot.ru
54	Идеал	https://www.vl.ru/ideal-stomatologicheskij-kabinet42	ideal@lenta.ru	['+7 (423) 290-90-23', '+7 902 505-90-23']	"['район ""64, 71 микрорайоны"", ул. Нейбута, 31']"	http://vladivostom.ru
55	Ортодонтикс групп	https://www.vl.ru/stomatologicheskaja-klinika-ortodontix-grup	info@ortodontics.ru	['+7 (423) 241-37-43', '+7 (423) 251-39-00']	"['район ""Центр"", ул. Захарова, 5', 'район ""Эгершельд"", ул. Станюковича, 52']"	http://www.ortodontics.ru
56	Dental home	https://www.vl.ru/dental-home	kerri0976@yandex.ru	['+7 (423) 201-21-71', '+7 924 731-21-71']	"['район ""Столетие"", пр-т 100-летия Владивостока, 30']"	http://dental.net.ru
57	Эндемика	https://www.vl.ru/endemika	endemika-dent@mail.ru	['+7 (423) 244-00-07']	"['район ""64, 71 микрорайоны"", ул. Адмирала Кузнецова, 64А']"	http://endemika-dent.ru
58	Аванстом	https://www.vl.ru/avanstom	avanstom.vl@yandex.ru	['+7 950 289-50-89', '+7 (423) 291-69-21']	"['район ""Снеговая падь"", ул. Адмирала Горшкова, 40']"	http://avanstom-vladivostok.ru
59	Dentium	https://www.vl.ru/dentium	stomdentium@mail.ru	['+7 (423) 298-88-16', '+7 (423) 263-75-14']	"['район ""Борисенко"", ул. Строительная 2-я, 12']"	http://www.dentium-vl.ru
60	Звезда	https://www.vl.ru/zvezda-stomatologicheskaya-klinika	zvezda28.72@mail.ru	['+7 (423) 263-45-45', '+7 924 263-45-45']	"['район ""Борисенко"", ул. Борисенко, 28']"	
61	Elistratov Dental Group	https://www.vl.ru/elistratov-dental-group	2413012@mail.ru	['+7 (423) 241-30-12']	"['район ""Эгершельд"", ул. Станюковича, 3']"	http://www.drelistratov.ru
62	George Group	https://www.vl.ru/george-dental-group	dental@g-george.ru	['+7 (423) 265-05-05, офис', '+7 800 222-10-01, единая справочная', '+7 (423) 226-10-01']	"['район ""Центр"", пр-т Океанский, 41', 'район ""Центр"", ул. Адмирала Фокина, 29', 'район ""Толстого (Буссе)"", пр-т Красного Знамени, 84', 'район ""Центр"", ул. Светланская, 157', 'район ""Столетие"", пр-т 100-летия Владивостока, 30', 'район ""Трудовая"", ул. Вилкова, 9']"	https://g-george.ru
63	Ультрадент	https://www.vl.ru/ultradent	ultradent1@mail.ru	['+7 (423) 220-97-98', '+7 (423) 260-03-33 , регистратура', '+7 (423) 260-88-60', '+7 (423) 263-60-68', '+7 (423) 263-84-85 , регистратура']	"['район ""Толстого (Буссе)"", ул. Толстого, 41В', 'район ""Борисенко"", ул. Борисенко, 4']"	https://ultradentdv.ru
64	Евродент	https://www.vl.ru/evrodent	evro-dent@mail.ru	['+7 (423) 237-00-19', '+7 914 696-81-23']	"['район ""Столетие"", пр-т 100-летия Владивостока, 36Б']"	
65	Dentalux	https://www.vl.ru/dentalyuks-ooo	info@dentalux-vl.ru	['+7 (423) 222-32-13', '+7 967 958-22-13']	"['район ""Первая речка"", пр-т Красного Знамени, 10']"	http://dentalux-vl.ru
66	АРТ-ТН	https://www.vl.ru/art-tn	tn1309@mail.ru	['+7 (423) 200-16-27', '+7 924 730-16-27', '+7 924 730-10-71']	"['район ""Баляева"", ул. Баляева, 56']"	
67	Кириллица	https://www.vl.ru/doktor-elistratov-plus	50letvlksm21@gmail.com	['+7 (423) 228-42-86', '+7 914 672-43-74']	"['район ""Чуркин"", ул. Калинина, 25']"	http://ortodont-dv.ru
68	Дальневосточный медицинский центр	https://www.vl.ru/dalnevostoyj-medicinskij-centr	dvmc92@mail.ru	['+7 (423) 243-49-12', '+7 (423) 243-48-88 , регистратура']	"['район ""Первая речка"", пр-т Океанский, 92']"	http://www.dvmc.ru
69	Атланта 21 век	https://www.vl.ru/atlanta-21-vek-ooo		['+7 908 991-37-26', '+7 (423) 232-49-61']	"['район ""Вторая речка"", ул. Русская, 72А']"	
70	Гелиодент	https://www.vl.ru/geliodent	info@vladstom.ru	['+7 (423) 230-03-30', '+7 (423) 226-05-57']	"['район ""Центр"", ул. Адмирала Фокина, 1А']"	http://vladstom.ru
71	Ортодент-Р	https://www.vl.ru/ortodent-r	ortodent-r1@mail.ru	['+7 (423) 222-78-05', '+7 (423) 295-40-25', '+7 (423) 279-07-56']	"['район ""Луговая"", ул. Новоивановская, 3']"	https://ortodent-vl.ru
72	Центр эстетической стоматологии и косметологии Монро	https://www.vl.ru/centr-est-stomatologii-i-kosmetologii-monro		['+7 (423) 251-85-18']	"['район ""Седанка"", ул. Маковского, 56А']"	
73	Генциана Дент	https://www.vl.ru/genciana-dent-ooodetsk	genc-dent@yandex.ru	['+7 (423) 263-95-09', '+7 (423) 264-17-06']	"['район ""64, 71 микрорайоны"", ул. Нейбута, 65А']"	http://генциана-дент.рф
74	Беркут	https://www.vl.ru/berkut-chp	ooo_stom@mail.ru	['+7 (423) 227-02-34', '+7 (423) 248-03-33']	"['район ""Чуркин"", ул. Черемуховая, 22']"	
75	Мой доктор	https://www.vl.ru/semejnyj-medicinskij-centr-moj-doktor	kalinina72@yandex.ru	['+7 (423) 250-67-23', '+7 (423) 246-99-46', '+7 908 440-67-23']	"['район ""Столетие"", ул. Печорская, 8', 'район ""Столетие"", пр-т 100-летия Владивостока, 40']"	https://мойдоктор-вл.рф
76	Парацельс	https://www.vl.ru/paracels-medicinskij-centr	paracels.vl@mail.ru	['+7 908 994-88-77 , многоканальный', '+7 (423) 226-22-62 , call-центр']	"['район ""Луговая"", ул. Новоивановская, 4А']"	http://www.paracels-vlad.ru
77	Сона	https://www.vl.ru/sona-ooo-firma-sonadetsk	firmasona@yandex.ru	['+7 (423) 232-06-14', '+7 (423) 232-06-16']	"['район ""Вторая речка"", ул. Русская, 17']"	http://www.firmasona.com
78	Деал-С	https://www.vl.ru/deal-s2	on-prim@yandex.ru	['+7 (423) 200-77-00']	"['район ""Вторая речка"", ул. Русская, 55А']"	
79	Стоматологическая Клиника Доктора Ротенберг	https://www.vl.ru/stomatologicheskaya-klinika-doktora-rotenberg	rotenberg.stomatologiya@bk.ru	['+7 (423) 248-92-25', '+7 994 022-41-25']	"['район ""Центр"", ул. Светланская, 133']"	
80	Вера	https://www.vl.ru/vera-boltik-s.a	stomveravl@gmail.com	['+7 (423) 220-44-38', '+7 908 993-22-32']	"['район ""Третья рабочая"", пр-т Народный, 11']"	http://www.stomvera.ru
81	Лечебно-диагностический центр МГУ им. адмирала Г. И. Невельского	https://www.vl.ru/lechebno-diagnosticheskij-centr-mgu-im.adm.-g.i.neve	bakina@msun.ru	['+7 (423) 249-77-91 , тел./факс', '+7 (423) 274-06-39']	"['район ""Эгершельд"", ул. Станюковича, 60А']"	http://www.msun.ru/dir/ldc/
82	Лекарь	https://www.vl.ru/lekar-ooo-stomatologicheskij-kabinet	lekar-2005@mail.ru	['+7 (423) 222-37-56', '+7 (423) 270-71-74']	"['район ""Гайдамак"", ул. Карла Либкнехта, 10А']"	
83	Дальневосточный окружной медицинский центр	https://www.vl.ru/medicinskij-centr-okruzhnoj-dalnevostoyj-gu-mzrf	inbox@dvomc.vtc.ru	['+7 (423) 222-36-89 , регистратура', '+7 (423) 222-49-33 , приёмная заведующей', '+7 924 732-02-40 , предварительная запись к врачам', '+7 (423) 249-65-24 , предварительная запись к врачам', '+7 (423) 231-59-26 , приемное отделение', '+7 (423) 231-49-81 , стол справок, центр профилактики остеопороза', '+7 (423) 234-00-05 , запись на МРТ, КТ, рентген-денситометрию, отделение лучевой диагностики', '+7 (423) 231-54-26 , запись на МРТ, КТ, рентген-денситометрию, отделение лучевой диагностики', '+7 (423) 237-51-22 , заведующий стационаром', '+7 (423) 231-56-89 , запись на ФГДС, колоноскопию - эндоскопическое отделение', '+7 (423) 231-59-28 , терапевтическое отделение', '+7 (423) 231-56-93 , хирургическое отделение', '+7 (423) 231-56-86 , неврологическое отделение', '+7 (423) 231-54-39 , ожоговое отделение', '+7 (423) 231-56-98 , отделение анестизиологии и реанимации', '+7 (423) 231-54-59 , ординаторская урологов', '+7 (423) 231-56-87 , отделение функциональной диагностики', '+7 (423) 231-54-47 , отделение реабилитации и восстановительного лечения', '+7 (423) 231-54-29 , паталогоанатомическое отделение', '+7 (423) 234-67-80 , факс', '+7 (423) 231-54-36 , приемная руководителя', '+7 (423) 231-54-77 , клинико-диагностическая лаборатория', '+7 (423) 234-67-80 , факс', '+7 (423) 222-42-15 , приемная заведующей', '+7 (423) 249-63-50 , регистратура']	"['район ""Центр"", ул. Береговая, 3', 'район ""Чайка"", пр-т 100-летия Владивостока, 161', 'район ""Эгершельд"", ул. Морозова, 7']"	http://www.dvomc.ru
84	Астра-Дент	https://www.vl.ru/astra-dent-ooo	ooo.aster-dent@mail.ru	['+7 (423) 238-06-27', '+7 924 238-57-57']	"['район ""Трудовое"", ул. Лермонтова, 64']"	http://www.astradentvl.ru
85	Мед эксперт	https://www.vl.ru/med-expert	2480222@mail.ru	['+7 (423) 237-48-87 , регистратура', '+7 (423) 248-02-22 , регистратура']	"['район ""Вторая речка"", ул. Русская, 5Б']"	http://www.medexpert-vl.ru
86	World Dent	https://www.vl.ru/world-dent	worlddentvl@yandex.ru	['+7 (423) 274-00-80', '+7 914 704-00-80']	"['район ""Центр"", ул. Мордовцева, 6']"	
87	Имплантс	https://www.vl.ru/implants-ooo-mediko-stomatologicheskaya-kompaniyad	implants.stom@mail.ru	['+7 (423) 243-65-51', '+7 (423) 243-65-53']	"['район ""Третья рабочая"", ул. Шилкинская, 6В']"	http://www.implants-dent.ru
88	Клиника дентальной имплантации	https://www.vl.ru/klinika-dentalnoj-implantacii	cdi.63@mail.ru	['+7 (423) 226-71-86', '+7 (423) 260-88-22']	"['район ""Центр"", ул. Луцкого, 16']"	
89	Асстом	https://www.vl.ru/stomatologiya-asstom	asstom68@mail.ru	['+7 914 967-23-88']	['Артём, ул. Ульяновская, 3/1']	
90	PROsmile	https://www.vl.ru/prosmile	prosmilevl@yandex.ru	['+7 908 993-61-01', '+7 (423) 293-61-01']	"['район ""Чуркин"", ул. Брянская, 18']"	
91	Жемчужина	https://www.vl.ru/zhemchuzhina-stomatologiya1		['+7 (423-37) 3-76-20', '+7 994 000-40-66']	['Артём, ул. Лазо, 5А']	
92	Добрый доктор	https://www.vl.ru/yuvenis	stom.dobryidoctor@yandex.ru	['+7 (423) 209-84-09', '+7 984 199-84-09']	"['район ""Баляева"", ул. Адмирала Юмашева, 4']"	
93	Адреналин	https://www.vl.ru/adrenalin-ooo	stom.adrenalin@mail.ru	['+7 (423) 243-22-99', '+7 (423) 257-33-03', '+7 908 440-73-73']	"['район ""Центр"", пер. Краснознаменный, 4']"	http://adrenalin-stom.com
94	Кволити Дэнт	https://www.vl.ru/kvoliti-dent		['+7 902 555-28-63']	"['район ""Центр"", ул. Нерчинская, 40']"	
95	Эстетика	https://www.vl.ru/estetica-artem	estetica.artem@gmail.com	['+7 924 338-05-05']	['Артём, ул. Гоголя, 5']	http://estetica-artem.ru
96	Миродент	https://www.vl.ru/mirodent	ooomirodent@yandex.ru	['+7 914 680-30-30', '+7 902 555-19-09']	"['район ""Снеговая падь"", ул. Анны Щетининой, 39']"	
97	Консультационно-диагностическая поликлиника ТОФ	https://www.vl.ru/federalnoe-byudzhetnoe-uchrezhdenie		['+7 (423) 263-84-75 , регистратура']	"['район ""Луговая"", ул. Громова, 2']"	
98	Стоматология МСЧ МВД России по Приморскому краю	https://www.vl.ru/gospital-msch-mvd-rossii	stomatologd-msch@yandex.ru	['+7 (423) 242-49-22 , регистратура', '+7 (423) 242-87-83 , заведующий отделением']	"['район ""Первая речка"", пр-т Океанский, 48']"	
99	Центр стоматологии профессора Русаковой	https://www.vl.ru/centr-stomatologii-professora-rusakovoj	clinica@rusakova-dent.ru	['+7 (423) 279-02-09']	"['район ""Центр"", ул. Уборевича, 38']"	https://rusakova-dent.ru
100	Дент-Студио	https://www.vl.ru/dent-studio		['+7 (423-37) 9-88-57']	['Артём, ул. Лазо, 38']	
101	Dr. Velikiy	https://www.vl.ru/dr-velikiy		['+7 (423) 205-22-25']	"['район ""Луговая"", ул. Луговая, 49']"	
102	Силан	https://www.vl.ru/silan		['+7 902 506-28-17']	"['район ""Фадеева"", ул. Воропаева, 12А']"	
103	Дентал Мастер	https://www.vl.ru/dental-master	dental-master@mail.ru	['+7 (423) 205-60-67', '+7 (423) 295-29-92', '+7 (423) 228-65-65']	"['район ""Чуркин"", ул. Бурачка, 17']"	http://dental-master.com
104	Леге Артис	https://www.vl.ru/lege-artis-ooo-stomatologicheskaya-klinika	ska75@mail.ru	['+7 (423) 245-46-14', '+7 (423) 245-37-99']	"['район ""Некрасовская"", пр-т Океанский, 157']"	http://www.legeartis-clinic.ru
105	Артемовская стоматологическая поликлиника	https://www.vl.ru/artemovskaya-stomatologicheskaya-poliklinika	stomartem@mail.ru	['+7 (423-37) 4-37-98 , регистратура', '+7 (423-37) 4-35-71 , приемная гл. врача', '+7 (423-37) 4-27-39 , бухгалтерия']	['Артём, ул. Дзержинского, 10']	http://stomartem.ru
106	Арт	https://www.vl.ru/art-stomatologichechkaya-klinika	stomaart@yandex.ru	['+7 (423) 261-24-04']	"['район ""Чуркин"", ул. Кипарисовая, 22']"	
107	Профдент	https://www.vl.ru/profdent-stomatologicheskaya-klinika-vrachej-moskvinyh	profdent@bk.ru	['+7 (423) 240-68-15']	"['район ""Центр"", пр-т Партизанский, 2А']"	
108	Витадент	https://www.vl.ru/vitadent-ooo	vitadentv@bk.ru	['+7 (423) 233-65-08', '+7 (423) 236-51-66']	"['район ""Столетие"", ул. Овчинникова, 10']"	http://www.vitadent-vl.ru
109	Коралл	https://www.vl.ru/korall	newcoralcentre@mail.ru	['+7 914 960-01-21', '+7 (423-37) 9-19-20', '+7 (423-37) 3-97-13', '+7 914 652-81-63']	['Артём, ул. Фрунзе, 8/1', 'Артём, ул. Чапаева, 2А']	http://www.coralcentre.ru
110	Сона Плюс	https://www.vl.ru/sona-plyus-ooodetsk	sona-plus@mail.ru	['+7 (423) 246-77-40', '+7 902 058-16-10', '+7 (423) 236-33-33', '+7 (423) 236-92-60']	"['район ""Центр"", ул. Пионерская, 1', 'район ""Столетие"", ул. Фирсова, 3']"	http://sona-plus.ru
111	Врачебно-физкультурный диспансер	https://www.vl.ru/primorskij-kraevoj-fizkulturnyj-dispanser	pkvfd@bk.ru	['+7 (423) 227-66-30 , доб. 3']	"['район ""Чуркин"", ул. Черемуховая, 11']"	
112	Астра	https://www.vl.ru/astra-stomatologiya	astrakova75@mail.ru	['+7 (423) 256-20-90']	"['район ""Тихая"", ул. Сахалинская, 3']"	
113	Фрегат-Дент	https://www.vl.ru/vladfregat	vladfregat@mail.ru	['+7 902 505-10-33']	"['район ""Снеговая падь"", ул. Адмирала Горшкова, 24']"	http://vladivostom.ru
114	Новодент	https://www.vl.ru/ooo-novodent		['+7 966 277-00-00']	"['район ""Вторая речка"", ул. Давыдова, 22А']"	
115	Аюста	https://www.vl.ru/ayusta	yuulia@yandex.ru	['+7 902 481-85-80', '+7 (423) 267-85-80', '+7 953 209-00-02']	"['район ""Центр"", пр-т Партизанский, 22']"	
116	Примастом	https://www.vl.ru/primastom	primastom.vl@yandex.ru	['+7 (423) 274-97-34']	"['район ""Центр"", ул. Светланская, 33']"	
