	item_name	item_url	item_phones_list	item_address	item_site
11	Стоматологическая клиника LiClinic	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_liclinic/	['+79990832719']	Хабаровск,   улица Тургенева,   46	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fliclinic.ru&hash=4ef0b23ba3a6633ee5e2ed36926d06dd&from=6204b8e6b3db064b5d256a4b.d3f4&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_liclinic%2F
12	Стоматология Люмьер	https://khabarovsk.zoon.ru/medical/stomatologiya_lyumer/	['+74212785070']	Хабаровск,   Краснореченская улица,   189, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Flumiere-dent.ru%2F&hash=c34c40f176029778b382ce47d6370619&from=54667ad440c088ea5a8edafa.3e1f&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologiya_lyumer%2F
13	Стоматологический центр Блеск	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_blesk/	['+74212789967']	Хабаровск,   улица Шеронова,   8 к3, 12 кабинет; 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fstomdv.ru&hash=77b3ff42e498e580d61a6a51780133d1&from=54667ad440c088ea5a8eda9e.9e2f&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_blesk%2F
14	Стоматологический центр Стом Энергетик	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_stom_energetik_v_krasnoflotskom_rajone/	['+74212480330']	Хабаровск,  Энергетик квартал,  11	https://stom-energetik.obiz.ru/?token=20230731142650gk5F
15	Стоматологическая клиника Дентал платинум	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_dental_platinum/	['+74212614562', '+79625014562']	Хабаровск,   улица Металлистов,   1а, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=https%3A%2F%2Fdentalplatinum.ru%2F&hash=48598896adb298f19e1eaae446b785cf&from=54667ad440c088ea5a8eda92.b4d3&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_dental_platinum%2F
16	Стоматологическая клиника Бобёр	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_bobyor/	['+74212319991', '+79243169991']	Хабаровск,   улица Краснореченская,   73, 1 помещение; 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fjivo.chat%2Fouc2ro4ou9&hash=1e30d1535a5188cb91f4c7377bcda9ca&from=5d81bfc410de9a0dd94fe7bd.4236&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_bobyor%2F
17	Стоматология Дентал Студио	https://khabarovsk.zoon.ru/medical/stomatologiya_dental_studio_na_bolshoj_ulitse/	['+74212729690', '+74212686100']	Хабаровск,   улица Большая,   9, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fdentalstudio27.ru%2F&hash=20d18f388e7170d8c3d5b2131a820cec&from=5567099e40c0886b4c8ccfde.fa14&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologiya_dental_studio_na_bolshoj_ulitse%2F
18	Стоматологический центр Корона-стом	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_korona-stom_na_volochaevskoj/	['+74212452052']	Хабаровск,   улица Волочаевская,   87, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fwww.koronastom.ru&hash=a65204e1566695b9df95b22eee681d8d&from=54667acf40c088ea5a8ed811.2efa&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_korona-stom_na_volochaevskoj%2F
19	Новая стоматология	https://khabarovsk.zoon.ru/medical/novaya_stomatologiya_v_tsentralnom_rajone/	['+74212421674', '+74212437797']	Хабаровск,  ул. Петра Комарова,  д. 3а, 5 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fwww.new-stom.ru%2F&hash=f5820984e6d6de7d034e37d558d9e971&from=54667ad340c088ea5a8eda48.bdcc&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fnovaya_stomatologiya_v_tsentralnom_rajone%2F
20	Стоматологический центр Лукадент	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_lukadent/	['+74212561005']	Хабаровск,   улица Фрунзе,   119, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Flukadent.ru&hash=93901a832be88fae2e5b41a676f7fa3f&from=54667ad440c088ea5a8edac2.716a&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_lukadent%2F
21	Стоматологический центр Корона-стом	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_korona-stom_na_zaparina/	['+74212453453']	Хабаровск,   ул. Запарина,   д. 25, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fwww.koronastom.ru%2F&hash=33022630062458489c38f4d92148412f&from=57dcd78b40c088373b92805d.82ab&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_korona-stom_na_zaparina%2F
22	Клиника Головина	https://khabarovsk.zoon.ru/medical/klinika_golovina/	['+74212686803', '+79098026803']	Хабаровск,   улица Калинина,   8, 21 офис; 2 этаж	
23	Стоматологическая клиника Oral clinic	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_oral_clinic/	['+74212929762']	Хабаровск,   улица Дзержинского,   64, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Foralclinic.ru&hash=12d91990d4d69a19263de86fb04ceb70&from=57dcd78740c088373b928045.52a4&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_oral_clinic%2F
24	Семейный медицинский центр Наша Клиника	https://khabarovsk.zoon.ru/medical/semejnyj_meditsinskij_tsentr_nasha_klinika_v_industrialnom_rajone-e899/	['+74212454422']	Хабаровск,   улица Шеронова,   8 к1	https://nasha-klinika.obiz.ru/?token=20230731142744GeF3
25	Клиника семейной медицины Двгму	https://khabarovsk.zoon.ru/medical/klinika_semejnoj_meditsiny_dvgmu/	['+74212327676']	Хабаровск,   улица Карла Маркса,   60, 4 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2F%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0-%D0%B4%D0%B2.%D1%80%D1%84&hash=66739ca09fa3fee679632644c84d60ba&from=54667ad240c088ea5a8ed907.e53f&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fklinika_semejnoj_meditsiny_dvgmu%2F
26	Стоматологическая клиника А-Пломб	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_a-plomb/	['+74212516023']	Хабаровск,   улица Мухина,   23, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fa-plomb27.ru%2F&hash=a4c87f20e3c0a8f8b1d01b07e9d8a85a&from=54667ad340c088ea5a8eda4c.2ec0&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_a-plomb%2F
27	Стоматологическая клиника Biofordent	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_biofordent_na_volochaevskoj_ulitse/	['+74212788288']	Хабаровск,   улица Волочаевская,   85, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fbiofordent.ru%2F&hash=9a6a1f101e9d6236e875baa1a713b3b0&from=5e74c76efdb33a1477055441.23a3&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_biofordent_na_volochaevskoj_ulitse%2F
28	Стоматология Здоровые зубы	https://khabarovsk.zoon.ru/medical/stomatologiya_zdorovye_zuby_na_ulitse_olega_koshevogo_10/	['+74212460997']	Хабаровск,   улица Олега Кошевого,   10, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fevrostom27.ru&hash=e3a3ab0a3df152d822f0225d84e069dc&from=54667ad340c088ea5a8ed996.2992&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologiya_zdorovye_zuby_na_ulitse_olega_koshevogo_10%2F
29	Стоматологическая клиника Альфа-стом	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_alfa-stom/	['+74212755640']	Хабаровск,   улица Гайдара,   14	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fwww.alpha-stom.khb.ru&hash=70c2dd9ea11fec2cfaa4e80dcb63e74f&from=54667acd40c088ea5a8ed695.7e8e&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_alfa-stom%2F
30	Медицинский центр Астра-мед	https://khabarovsk.zoon.ru/medical/meditsinskij_tsentr_astra-med/	['+79241005402']	Хабаровск,   улица Дзержинского,   52, 2 этаж	
31	Стоматологическая клиника Альфа-стом	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_alfa-stom/	['+74212755640']	Хабаровск,   улица Гайдара,   14	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fwww.alpha-stom.khb.ru&hash=70c2dd9ea11fec2cfaa4e80dcb63e74f&from=54667acd40c088ea5a8ed695.7e8e&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_alfa-stom%2F
32	Стоматология БодиКола	https://khabarovsk.zoon.ru/medical/stomatologiya_bodikola/	['+74212260156']	Хабаровск,   улица Тургенева,   34, 2 офис; 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=https%3A%2F%2Fbodycola.ru&hash=4ee612fcd34bdb8a08e4e1cdb9391c4c&from=54667a2a40c088eb5a8e8c0c.b218&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologiya_bodikola%2F
33	Стоматологический центр Дентал Стиль	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_dental_stil/	['+74212237800', '+74212500800']	Хабаровск,   бульвар Уссурийский,   д. 16	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fwww.dentalstyle-khv.ru&hash=ca8246ec30b06c88e1a5134866f3286b&from=54667ad440c088ea5a8edaba.7c40&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_dental_stil%2F
34	Клиническая больница РЖД-Медицина	https://khabarovsk.zoon.ru/medical/klinicheskaya_bolnitsa_rzhd-meditsina_na_voronezhskoj_ulitse_49/	['+79690343463']	Хабаровск,   улица Воронежская,   49, 5 этаж	
35	Стоматология Хабаровская стоматология	https://khabarovsk.zoon.ru/medical/stomatologiya_habarovskaya_stomatologiya_na_bolshoj_ulitse/	['+74212333232', '+79141587253']	Хабаровск,   улица Большая,   93, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2F%D1%85%D0%B0%D0%B1%D0%B0%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F.%D1%80%D1%84&hash=8d805b923053f31f6e2edb3428435a97&from=54667ad440c088ea5a8eda70.aa9a&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologiya_habarovskaya_stomatologiya_na_bolshoj_ulitse%2F
36	Центр семейной стоматологии Академия Улыбок	https://khabarovsk.zoon.ru/medical/tsentr_semejnoj_stomatologii_akademiya_ulybok/	['+74212684411']	Хабаровск,  улица Истомина,  60	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fsmilekhv27.ru&hash=43df66ece427133dc360885299492d5f&from=5ffde6c5eaeafc0a2b6c0159.d9a2&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Ftsentr_semejnoj_stomatologii_akademiya_ulybok%2F
37	Центральная Стоматологическая Клиника	https://khabarovsk.zoon.ru/medical/tsentralnaya_stomatologicheskaya_klinika/	['+74212260642', '+74212210088', '+79243164488']	Хабаровск,  улица Панькова,  11, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fcsk-stom.ru%2F&hash=e3257349a8fb452b0f86cb76dc143a66&from=57dcd77e40c088373b92802d.240c&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Ftsentralnaya_stomatologicheskaya_klinika%2F
38	Дент-имплант	https://khabarovsk.zoon.ru/medical/dent-implant/	['+74212733535', '+79098767202']	Хабаровск,   улица Большая,   97, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fwww.dent-implant.khv.ru&hash=b36991d809dcd0afb67a7a047afc9f10&from=54667ad340c088ea5a8ed9a6.f0f6&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fdent-implant%2F
39	Искра Жизни	https://khabarovsk.zoon.ru/medical/iskra_zhizni/	['+79098686632']		
40	Дар	https://khabarovsk.zoon.ru/medical/dar/	['+79055821299']		
41	Стоматологическая клиника ЛазерДент	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_lazerdent/	['+74212667701', '+79242141826']	Хабаровск,   улица Шевчука,   42, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Flaserdent27.ru&hash=f6f09a76cd4d19cfa6985e46684bd646&from=54667ace40c088ea5a8ed7a4.e862&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_lazerdent%2F
42	Стоматологическая клиника You-Ai в Китае	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_you-ai_v_kitae/	['+78007001182', '+79141585854']	Хабаровск,   Восточное шоссе,   41, 312 офис; 3 этаж (представительство)	https://khabarovsk.zoon.ru/redirect/?to=https%3A%2F%2Fchinazub.ru%2F&hash=1e0983649620f20222e45e623a56f222&from=57dcd76440c088373b927f9f.9438&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_you-ai_v_kitae%2F
43	Студия улыбки Независимость	https://khabarovsk.zoon.ru/medical/studiya_ulybki_nezavisimost/	['+79174026914']		
44	Медицинский центр КлиникА	https://khabarovsk.zoon.ru/medical/meditsinskij_tsentr_klinika_v_industrialnom_rajone/	['+74212470000']	Хабаровск,  улица Павла Леонтьевича Морозова,  96, 1 офис; 1 этаж	
45	Стоматологический центр Юмакс	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_yumaks/	['+74212221271']	Хабаровск,   улица Блюхера,   3, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fymax.pro&hash=a6038b20c5f24e0fe4d54d9b6472ffd8&from=54667ad440c088ea5a8edad4.0907&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_yumaks%2F
46	Медицинский центр Снегири	https://khabarovsk.zoon.ru/medical/meditsinskij_tsentr_snegiri_v_leningradskom_pereulke/	['+79625852901']	Хабаровск,   Ленинградский переулок,   9	
47	Стоматологический центр Стомадент	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_stomadent/	['+74212607605', '+74212573773']	Хабаровск,   улица Калинина,   109, 1; 2 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fstomadentdv.ru&hash=72b45bb17d961ebfb2385a4d397d46ba&from=54667acf40c088ea5a8ed868.816a&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_stomadent%2F
48	Стоматологическая клиника Кореан Стом	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_korean_stom_v_industrialnom_rajone/	['+74212655060', '+74212934499']	Хабаровск,   улица Краснореченская,   189, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fkorean-stom.ru&hash=b12b183702ee4fdff8144c4adbc732bc&from=5567099e40c0886b4c8ccf70.7fd2&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_korean_stom_v_industrialnom_rajone%2F
49	Стоматологическая клиника Хороший доктор	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_horoshij_doktor/	['+74212644064', '+79098254064']	Хабаровск,   улица Волочаевская,   124, 1 этаж	
50	Стоматологическая клиника Все Свои рядом	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_vse_svoi_ryadom/	['+74212244797']	Хабаровск,  улица имени Лейтенанта С.В. Орлова,  2	https://khabarovsk.zoon.ru/redirect/?to=https%3A%2F%2F%D0%B8%D0%BC%D0%BF%D0%BB%D0%B0%D0%BD%D1%82%D1%8B%D0%BA%D0%B0%D0%BA%D1%81%D0%B2%D0%BE%D0%B8.%D1%80%D1%84%2F&hash=ea4c41715dbf265ea537e3bb65f44d4d&from=5b9f3bf5ebbb9d15b1013a39.7047&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_vse_svoi_ryadom%2F
51	Стоматология Доктор стом	https://khabarovsk.zoon.ru/medical/stomatologiya_doktor_stom/	['+79142000970', '+79141535050']	Хабаровск,   улица Ленинградская,   16, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fwww.drstom.ru&hash=b8cc8c486030cec710d618244af65c0d&from=54667acf40c088ea5a8ed809.f84f&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologiya_doktor_stom%2F
52	Современная Стоматология	https://khabarovsk.zoon.ru/medical/sovremennaya_stomatologiya-9737/	['+74212456601', '+79963886601']	Хабаровск,  улица Павла Леонтьевича Морозова,  96а, 1 этаж	
53	Стоматология Премьер	https://khabarovsk.zoon.ru/medical/stomatologiya_premer/	['+79243057017', '+74212450502']	Хабаровск,   улица Тургенева,   96 к2	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fwww.clinica-premier.ru&hash=27afe544c305524e157311206969ae46&from=54667acf40c088ea5a8ed864.e5a6&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologiya_premer%2F
54	Стоматологический госпиталь	https://khabarovsk.zoon.ru/medical/stomatologicheskij_gospital/	['+74212704695', '+74212606060']	Хабаровск,  улица им. Лейтенанта Орлова,  8, 1—2 этаж	
55	Стоматология Красивая улыбка	https://khabarovsk.zoon.ru/medical/stomatologiya_krasivaya_ulybka/	['+74212598559', '+79241047497']	Хабаровск,  улица Павла Леонтьевича Морозова,  113, 2 этаж	
56	Стоматология Медикус	https://khabarovsk.zoon.ru/medical/stomatologiya_medikus/	['+74212460801', '+79241189799']	Хабаровск,   улица Краснореченская,   97а, 3 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2F%D0%BC%D0%B5%D0%B4%D0%B8%D0%BA%D1%83%D1%8127.%D1%80%D1%84%2F&hash=1ca490adc63be5a5d4f095ce2f291f6f&from=54667acf40c088ea5a8ed819.dec8&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologiya_medikus%2F
57	Стоматология Вита Дент	https://khabarovsk.zoon.ru/medical/stomatologiya_vita_dent_na_ulitse_turgeneva/	['+79242020931']	Хабаровск,   улица Тургенева,   49, 3 этаж	
58	Стоматологическая клиника Doctor Kan	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_doctor_kan/	['+74212490400']	Хабаровск,   улица Тургенева,   48	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fdoctorkan.ru&hash=b854b9c8b6fb3284e34a4c73745a2b0a&from=63ccc0002dd3508a5a0a36cd.203a&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_doctor_kan%2F
59	Стоматологический центр Дентал-клиник	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_dental-klinik/	['+74212513789', '+79098228149']	Хабаровск,   улица Ворошилова,   31, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fdentalclinik.ru%2F&hash=ce378b29807d4a1aefed4468ec246464&from=54667acf40c088ea5a8ed7f1.8663&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_dental-klinik%2F
60	Стоматологическая клиника Biofordent	https://khabarovsk.zoon.ru/medical/stomatologicheskaya_klinika_biofordent_na_ulitse_aa_vahova/	['+74212788288']	Хабаровск,   улица Вахова,   4	https://khabarovsk.zoon.ru/redirect/?to=https%3A%2F%2Fbiofordent.ru&hash=989eb9c5e0750630fc26fb8c170d336c&from=5f27b466bbbd5c701f3e646b.8f3e&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskaya_klinika_biofordent_na_ulitse_aa_vahova%2F
61	Стоматологический центр Эстет плюс	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_estet_plyus/	['+74212742821', '+79142110131']	Хабаровск,  улица Профессора Даниловского,  29, 1 этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Festetplus27.ru&hash=b01d3f4e21af004ae64ba2de5f616acd&from=54667ad040c088ea5a8ed8a1.3ba9&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_estet_plyus%2F
62	Клиника Хабаровская стоматология	https://khabarovsk.zoon.ru/medical/klinika_habarovskaya_stomatologiya_na_ulitse_pushkina/	['+74212333232']	Хабаровск,   улица Пушкина,   4, цокольный этаж	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2F%D1%85%D0%B0%D0%B1%D0%B0%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F.%D1%80%D1%84&hash=8d805b923053f31f6e2edb3428435a97&from=54667ad340c088ea5a8ed9ee.e850&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fklinika_habarovskaya_stomatologiya_na_ulitse_pushkina%2F
63	Стоматология Доктор Ким	https://khabarovsk.zoon.ru/medical/stomatologiya_doktor_kim_na_leningradskoj_ulitse/	['+74212260342', '+79656749392']	Хабаровск,   улица Ленинградская,   32	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fdoctorkim.ru&hash=f3f593c7918ab714578209e250f0c794&from=5f3a746c17d89e31192e65b0.643a&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologiya_doktor_kim_na_leningradskoj_ulitse%2F
64	Стоматологический центр Докомит	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_dokomit/	['+74212605050', '+74212427757', '+79622205050']	Хабаровск,   улица Ленинградская,   15а	https://khabarovsk.zoon.ru/redirect/?to=http%3A%2F%2Fdokomit.ru&hash=1befbafd05eeba1d48d703de9f4a9175&from=54667acf40c088ea5a8ed801.6da8&ext_site=ext_site&backurl=https%3A%2F%2Fkhabarovsk.zoon.ru%2Fmedical%2Fstomatologicheskij_tsentr_dokomit%2F
65	Стоматологический центр Smile Dent	https://khabarovsk.zoon.ru/medical/stomatologicheskij_tsentr_smile_dent/	['+74212204333']	Хабаровск,   улица Фурманова,   2, 1 этаж	
